prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
JAINWS01,WGS,,BCT,Escherichia coli,PRJNA759098,SAMN20719260,strain: S.112.20.Ec,"host: Homo sapiens,isolation_source: rectal swab neonate",4758218,34,0,No,0,0,0,No,,,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z
JAINWT01,WGS,,BCT,Escherichia coli,PRJNA759098,SAMN20719259,strain: S.104.19.Ec,"host: Homo sapiens,isolation_source: rectal swab neonate",5238097,204,0,No,0,0,0,No,,,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z
JAINWU01,WGS,,BCT,Escherichia coli,PRJNA759098,SAMN20719258,strain: S.43.20.Ec,"host: Homo sapiens,isolation_source: rectal swab neonate",5158448,236,0,No,0,0,0,No,,,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z
JAINWY01,WGS,,BCT,Enterococcus faecalis,PRJNA759098,SAMN20719254,strain: S.58.20.Ef,"host: Homo sapiens,isolation_source: rectal swab neonate",2934265,138,0,No,0,0,0,No,,,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z
JAINWZ01,WGS,,BCT,Enterococcus faecalis,PRJNA759098,SAMN20719253,strain: S.56.20.Ef,"host: Homo sapiens,isolation_source: rectal swab neonate",2932570,143,0,No,0,0,0,No,,,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z
JAINXB01,WGS,,BCT,Enterococcus faecalis,PRJNA759098,SAMN20719251,strain: S.111.20.Ef,"host: Homo sapiens,isolation_source: rectal swab neonate",3039003,82,0,No,0,0,0,No,,,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z
JAINXC01,WGS,,BCT,Enterococcus faecalis,PRJNA759098,SAMN20719250,strain: S.136.20.Ef,"host: Homo sapiens,isolation_source: rectal swab neonate",3010596,118,0,No,0,0,0,No,,,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z
JAINXF01,WGS,,BCT,Enterococcus faecalis,PRJNA759098,SAMN20719247,strain: S.27.19.Ef,"host: Homo sapiens,isolation_source: rectal swab neonate",2899186,59,0,No,0,0,0,No,,,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z
JAINXH01,WGS,,BCT,Enterococcus faecalis,PRJNA759098,SAMN20719245,strain: S.116.20.Ef,"host: Homo sapiens,isolation_source: rectal swab neonate",3039182,82,0,No,0,0,0,No,,,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z
JAINXI01,WGS,,BCT,Enterococcus faecalis,PRJNA759098,SAMN20719244,strain: S.27.20.Ef,"host: Homo sapiens,isolation_source: rectal swab neonate",3052428,130,0,No,0,0,0,No,,,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z
JAINXJ01,WGS,,BCT,Enterococcus faecalis,PRJNA759098,SAMN20719243,strain: S.25.20.Ef,"host: Homo sapiens,isolation_source: rectal swab neonate",2775427,33,0,No,0,0,0,No,,,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z
